"result_creator","result_id","task_id","num_annot","inside","resized","outer","inner","wap","wtr"
"cedasfechece",86,2246,2,True,True,31.40367430934673,15.76691505896257,49.792769777039,0.1457146975142738
"tehsidetegenichurgew",87,2246,1,False,True,"","","",""
"esrood",88,2246,2,True,True,32.90624948659892,15.354544390661331,53.33851584358018,0.15845394104008526
"heacsuzterilsotnaho",89,2246,2,True,True,28.65807785105518,16.693180745298324,41.750522027129996,0.11839327189870587
"itseidlaelextu",90,2246,1,False,False,"","","",""
"enilavqo",91,2246,4,True,False,"","","",""
"tehsidetegenichurgew",92,2246,1,False,True,"","","",""
"ranotrete",93,2246,4,True,True,"","","",""
"itseidlaelextu",94,2246,1,False,False,"","","",""
"seridzaja",95,2246,2,False,False,23.75829444277282,23.7582944427728,7.476786028050138e-14,2.056116157713788e-16
"sozeched",96,2246,4,True,False,"","","",""
"itseidlaelextu",97,2246,1,False,False,"","","",""
"itseidlaelextu",98,2246,1,False,False,"","","",""
"asbicapadnitiin",99,2246,2,True,True,38.037322279696625,15.323193541239561,59.71537263174096,0.1826491398772526
"ixobilem",100,281,2,True,False,23.75829444277282,3.8965210371632044,83.59932340030196,0.2975112558702457
"otolonechmegonit",101,281,2,True,True,17.483084527798262,4.573922599430549,73.83801129510087,0.24425604256943267
"quaemboizniluganic",102,281,2,False,True,58.101964627908345,31.974658540232095,44.96802518640896,0.12908230423181805
"echlimiseej",103,281,2,True,True,17.177708865616676,6.561049782163412,61.80486097714597,0.19098892000911183
"saekep",104,281,2,True,False,23.75829444277282,5.3127991131725185,77.63812917644577,0.2635583009304714
"echlyidocteniemte",105,281,4,True,False,"","","",""
"ecenivri",106,281,2,True,True,28.479074126200988,3.9002804119103636,86.30474995561013,0.31496453012739783
"nehabazexzic",107,281,2,True,True,46.64837688752526,5.258885469723906,88.7265413705525,0.33212014244222526
"ingifokraelgaimche",108,281,1,False,False,"","","",""
"essatetig",109,281,2,True,True,26.83243902002356,8.833141771289284,67.08036207704562,0.21312181190026674
"tehsidetegenichurgew",110,281,1,False,True,"","","",""
