"airway_id","subject_id","task_class","task_id"
164,13,"good",1254
40,3,"good",187
54,1,"good",36
91,2,"good",142
59,25,"good",1923
169,7,"good",674
142,4,"good",334
19,8,"good",714
22,10,"good",800
68,41,"good",2288
21,23,"good",1828
97,10,"good",866
200,7,"good",700
144,28,"good",2192
122,13,"good",1218
80,18,"good",1388
50,1,"good",32
178,28,"good",2218
112,11,"good",1016
39,11,"good",955
147,4,"good",337
427,19,"good",1719
102,28,"good",2158
82,12,"good",1107
163,10,"good",921
185,41,"good",2374
92,8,"good",771
75,11,"good",986
34,5,"good",408
62,13,"good",1169
88,10,"good",857
72,28,"good",2132
10,6,"good",469
118,18,"good",1422
119,7,"good",627
171,28,"good",2211
298,19,"good",1648
75,3,"good",216
79,2,"good",132
56,2,"good",110
49,16,"good",1300
78,12,"good",1105
91,13,"good",1196
12,23,"good",1819
120,13,"good",1217
92,25,"good",1949
108,41,"good",2321
51,41,"good",2271
89,4,"good",288
15,41,"good",2239
172,41,"good",2366
26,28,"good",2095
195,4,"good",375
92,12,"good",1116
100,18,"good",1406
60,13,"good",1167
74,28,"good",2134
43,6,"good",494
56,4,"good",258
333,19,"good",1665
12,41,"good",2237
160,11,"good",1050
90,4,"good",289
96,5,"good",451
179,19,"good",1579
133,7,"good",641
205,7,"good",704
66,13,"good",1173
25,6,"good",480
22,8,"good",716
59,41,"good",2279
63,19,"good",1502
106,13,"good",1207
121,11,"good",1024
492,19,"good",1750
76,11,"good",987
15,23,"good",1822
165,11,"good",1054
115,4,"good",311
105,5,"good",457
74,11,"good",985
282,19,"good",1645
39,6,"good",491
45,27,"good",2045
140,4,"good",332
80,28,"good",2139
13,6,"good",472
144,10,"good",907
52,23,"good",1852
80,4,"good",279
449,19,"good",1731
20,18,"good",1335
156,18,"good",1455
86,2,"good",138
135,4,"good",328
80,8,"good",763
69,6,"good",518
82,7,"good",594
154,4,"good",340
11,1,"good",1
77,10,"good",848
59,3,"good",203
60,25,"good",1924
186,7,"good",689
43,13,"good",1153
20,1,"good",6
84,8,"good",766
119,13,"good",1216
119,18,"good",1423
459,19,"good",1736
79,18,"good",1387
68,12,"good",1099
42,7,"good",558
442,19,"good",1726
11,18,"good",1329
36,21,"good",1774
181,28,"good",2220
84,19,"good",1515
116,7,"good",624
57,28,"good",2122
188,7,"good",691
43,12,"good",1080
41,24,"good",1879
89,13,"good",1194
26,5,"good",403
100,5,"good",453
74,10,"good",846
111,7,"good",619
130,7,"good",638
56,6,"good",505
83,18,"good",1390
193,4,"good",373
72,41,"good",2291
49,7,"good",563
15,8,"good",710
55,6,"good",504
6,2,"good",77
42,3,"good",189
44,8,"good",731
142,13,"good",1235
179,4,"good",363
153,7,"good",660
38,13,"good",1148
65,41,"good",2285
364,19,"good",1684
173,19,"good",1573
155,10,"good",917
159,28,"good",2201
206,7,"good",705
95,41,"good",2313
105,25,"good",1962
67,18,"good",1375
68,8,"good",751
25,16,"good",1279
23,5,"good",401
59,6,"good",508
39,26,"good",2009
99,12,"good",1122
86,6,"good",534
46,26,"good",2015
94,41,"good",2312
54,3,"good",198
31,1,"good",15
79,4,"good",278
56,16,"good",1307
45,8,"good",732
117,11,"good",1020
23,16,"good",1277
11,6,"good",470
136,4,"good",329
76,18,"good",1384
189,7,"good",692
423,19,"good",1716
53,16,"good",1304
452,19,"good",1732
70,41,"good",2290
78,4,"good",277
123,10,"good",888
251,19,"good",1626
109,4,"good",305
89,11,"good",997
70,2,"good",124
118,11,"good",1021
123,2,"good",162
10,41,"good",2236
86,7,"good",598
39,16,"good",1292
134,11,"good",1035
32,11,"good",948
121,19,"good",1539
8,23,"good",1818
77,19,"good",1511
44,3,"good",191
108,4,"good",304
67,13,"good",1174
12,6,"good",471
169,28,"good",2209
79,13,"good",1185
81,18,"good",1389
209,4,"good",383
84,1,"good",61
370,19,"good",1687
153,18,"good",1452
87,21,"good",1807
139,41,"good",2346
70,18,"good",1378
101,5,"good",454
180,4,"good",364
51,3,"good",196
232,19,"good",1613
88,11,"good",996
150,19,"good",1557
65,1,"good",46
25,17,"good",1318
201,7,"good",701
130,4,"good",323
145,11,"good",1042
36,11,"good",952
28,27,"good",2030
101,10,"good",870
137,4,"good",330
113,2,"good",156
325,19,"good",1661
156,7,"good",663
17,21,"good",1757
9,16,"good",1266
83,21,"good",1806
149,18,"good",1449
93,41,"good",2311
24,17,"good",1317
37,11,"good",953
39,1,"good",23
45,41,"good",2265
22,18,"good",1337
111,13,"good",1211
63,41,"good",2283
166,28,"good",2206
70,8,"good",753
75,41,"good",2294
128,13,"good",1223
17,3,"good",172
44,41,"good",2264
32,26,"good",2004
89,28,"good",2148
194,28,"good",2229
202,28,"good",2234
48,13,"good",1158
9,6,"good",468
105,18,"good",1411
72,10,"good",844
106,28,"good",2162
36,6,"good",488
24,3,"good",175
24,21,"good",1764
115,25,"good",1972
386,19,"good",1697
114,25,"good",1971
36,4,"good",243
42,27,"good",2042
211,19,"good",1604
400,19,"good",1705
415,19,"good",1713
124,18,"good",1426
224,4,"good",390
58,4,"good",260
84,6,"good",532
231,19,"good",1612
155,19,"good",1560
75,18,"good",1383
48,12,"good",1085
96,12,"good",1119
67,41,"good",2287
100,7,"good",610
51,2,"good",105
44,2,"good",100
47,25,"good",1911
91,7,"good",601
61,41,"good",2281
81,8,"good",764
54,16,"good",1305
56,18,"good",1366
24,26,"good",1998
146,7,"good",653
77,3,"good",218
23,13,"good",1137
60,4,"good",262
46,12,"good",1083
110,18,"good",1415
83,5,"good",440
21,3,"good",173
161,4,"good",347
46,27,"good",2046
326,19,"good",1662
198,4,"good",377
170,4,"good",354
48,10,"good",821
20,28,"good",2089
62,1,"good",43
19,11,"good",936
35,10,"good",810
21,25,"good",1893
173,10,"good",931
87,28,"good",2146
35,16,"good",1288
57,23,"good",1857
136,10,"good",900
72,8,"good",755
50,12,"good",1087
73,8,"good",756
52,27,"good",2052
16,10,"good",796
35,13,"good",1146
57,4,"good",259
19,18,"good",1334
48,19,"good",1493
61,13,"good",1168
48,18,"good",1359
70,27,"good",2065
131,4,"good",324
14,27,"good",2021
168,19,"good",1569
82,8,"good",765
11,3,"good",168
91,21,"good",1810
40,13,"good",1150
155,7,"good",662
75,13,"good",1182
103,2,"good",149
94,25,"good",1951
135,18,"good",1437
141,13,"good",1234
176,4,"good",360
40,6,"good",492
60,10,"good",832
126,11,"good",1029
154,19,"good",1559
58,6,"good",507
47,24,"good",1883
281,19,"good",1644
50,4,"good",255
66,19,"good",1505
59,27,"good",2057
13,21,"good",1755
243,19,"good",1620
191,28,"good",2227
96,28,"good",2155
100,4,"good",298
68,13,"good",1175
83,2,"good",136
77,8,"good",760
97,28,"good",2156
397,19,"good",1703
104,11,"good",1011
428,19,"good",1720
70,5,"good",432
62,25,"good",1926
375,19,"good",1692
23,28,"good",2092
72,18,"good",1380
94,28,"good",2153
19,12,"good",1059
18,23,"good",1825
170,13,"good",1258
78,3,"good",219
58,12,"good",1094
82,10,"good",853
107,28,"good",2163
77,13,"good",1183
12,3,"good",169
37,6,"good",489
95,19,"good",1522
124,10,"good",889
46,13,"good",1156
16,17,"good",1312
19,19,"good",1476
171,18,"good",1468
19,21,"good",1759
142,18,"good",1444
89,10,"good",858
42,25,"good",1906
150,13,"good",1243
29,1,"good",14
173,28,"good",2213
58,16,"good",1309
32,4,"good",239
86,25,"good",1945
52,16,"good",1303
192,7,"good",695
187,7,"good",690
57,3,"good",201
70,7,"good",583
156,41,"good",2357
43,2,"good",99
30,23,"good",1837
20,17,"good",1315
72,27,"good",2067
67,19,"good",1506
104,1,"good",75
90,11,"good",998
57,1,"good",38
16,41,"good",2240
174,10,"good",932
170,19,"good",1570
38,5,"good",412
31,3,"good",180
19,6,"good",477
80,13,"good",1186
47,13,"good",1157
171,13,"good",1259
320,19,"good",1659
50,10,"good",823
12,28,"good",2088
